Chochołów,Magura Witowska,14,9
Witów,Magura Witowska,10,6
Przystanek PKS "Dolina Chochołowska",Magura Witowska,9,6
Przystanek PKS "Dolina Chochołowska" przez Mietłówkę,Palenica Kościeliska,9,6
Witów przez Mietłówkę,Palenica Kościeliska,12,7
Kir,Palenica Kościeliska,7,4
Gronik,Palenica Kościeliska,7,5
Skibówki,Palenica Kościeliska,9,5
Kir,Butorowy Wierch,7,4
Palenica Kościeliska,Butorowy Wierch,2,2
Dzianisz,Butorowy Wierch,6,4
Gronik,Butorowy Wierch,6,4
Chochołów,Butorowy Wierch,15,12
Dom Turysty PTTK,Butorowy Wierch,8,5
Hotel Kasprowy,Butorowy Wierch,7,3
Skibówki,Butorowy Wierch,7,5
Butorowy Wierch,Gubałówka,3,3
Nowa Bystra,Gubałówka,6,3
Rogoźnik,Gubałówka,19,24
Eliaszówka,Gubałówka,3,2
Dom Turysty PTTK przez Kotelnicę,Gubałówka,7,4
Dom Turysty PTTK,Gubałówka,6,3
Szpital zakaźny,Eliaszówka,3,2
Szaflary przez Maruszynę,Eliaszówka,22,20
Szaflary przez Rolów Wierch,Eliaszówka,22,17
Cisowa Skała,Szaflary,8,9
Ludźmierz,Szaflary,7,7
Nowy Targ - Cisowa Skała,Szaflary,10,9
Eliaszówka,Rafaczyńska Grapa,2,3
Harenda,Rafaczyńska Grapa,3,2
Poronin,Rafaczyńska Grapa,5,3
Dom Turysty PTTK - Harenda,Rafaczyńska Grapa,4,5
Toporowa Cyrhlia,Poronin,7,9
Murzasichle,Poronin,4,7
Małe Ciche,Poronin,8,9
Murzasichle - Brzeziny,Poronin,4,3
Małe Ciche - Zazadnia,Poronin,2,2
Poronin,Galicowa Grapa,4,2
Bukowina Tatrzańska - klin,Galicowa Grapa,6,6
Bukowina Tatrzańska - Dolna,Bukowina Tatrzańska - Klin,5,4
Jurgów,Bukowina Tatrzańska - Klin,7,5
Głodówka,Bukowina Tatrzańska - Klin,4,6
Zazadnia,Bukowina Tatrzańska - Klin,8,7
Zazadnia - Dolina Filipka,Bukowina Tatrzańska - Klin,1,1
Wierch Poroniec,Głodówka,2,2
Jurgów,Głodówka,10,6
Jurgów,Bukowina Tatrzańska - Dolna,3,3
Białka,Bukowina Tatrzańska - Dolna,4,4
